2018-06-24,199
2018-06-25,198
2018-06-26,197
2018-06-27,196
2018-06-28,195
2018-06-29,194
2018-06-30,193
2018-07-01,192
2018-07-02,191
2018-07-03,190
2018-07-04,189
2018-07-05,188
2018-07-06,187
2018-07-07,186
2018-07-08,185
2018-07-09,184
2018-07-10,183
2018-07-11,182
2018-07-12,181
2018-07-13,180
2018-07-14,179
2018-07-15,178
2018-07-16,177
2018-07-17,176
2018-07-18,175
2018-07-19,174
2018-07-20,173
2018-07-21,172
2018-07-22,171
2018-07-23,170
2018-07-24,169
2018-07-25,168
2018-07-26,167
2018-07-27,166
2018-07-28,165
2018-07-29,164
2018-07-30,163
2018-07-31,162
2018-08-01,161
2018-08-02,160
2018-08-03,159
2018-08-04,158
2018-08-05,157
2018-08-06,156
2018-08-07,155
2018-08-08,154
2018-08-09,153
2018-08-10,152
2018-08-11,151
2018-08-12,150
2018-08-13,149
2018-08-14,148
2018-08-15,147
2018-08-16,146
2018-08-17,145
2018-08-18,144
2018-08-19,143
2018-08-20,142
2018-08-21,141
2018-08-22,140
2018-08-23,139
2018-08-24,138
2018-08-25,137
2018-08-26,136
2018-08-27,135
2018-08-28,134
2018-08-29,133
2018-08-30,132
2018-08-31,131
2018-09-01,130
2018-09-02,129
2018-09-03,128
2018-09-04,127
2018-09-05,126
2018-09-06,125
2018-09-07,124
2018-09-08,123
2018-09-09,122
2018-09-10,121
2018-09-11,120
2018-09-12,119
2018-09-13,118
2018-09-14,117
2018-09-15,116
2018-09-16,115
2018-09-17,114
2018-09-18,113
2018-09-19,112
2018-09-20,111
2018-09-21,110
2018-09-22,109
2018-09-23,108
2018-09-24,107
2018-09-25,106
2018-09-26,105
2018-09-27,104
2018-09-28,103
2018-09-29,102
2018-09-30,101
2018-10-01,100
2018-10-02,99
2018-10-03,98
2018-10-04,97
2018-10-05,96
2018-10-06,95
2018-10-07,94
2018-10-08,93
2018-10-09,92
2018-10-10,91
2018-10-11,90
2018-10-12,89
2018-10-13,88
